
201; 101; 31; 10000.00; EUR;
202; 101; 32; 10000.00; EUR;
203; 102; 33; 10000.00; EUR;
204; 102; 34; 10000.00; EUR;
205; 101; 35; 8000.00; EUR;
206; 103; 36; 8000.00; EUR;
207; 101; 37; 8000.00; EUR;
208; 101; 38; 8000.00; EUR;
209; 102; 39; 8000.00; EUR;
210; 102; 40; 8000.00; EUR;
211; 103; 41; 8000.00; EUR;
212; 104; 42; 5000.00; EUR;
213; 104; 43; 5000.00; EUR;
214; 105; 44; 5000.00; EUR;
215; 106; 45; 5000.00; EUR;
216; 106; 46; 5000.00; EUR;
217; 106; 47; 5000.00; EUR;
218; 105; 48; 12000.00; EUR; 
218; 105; 49; 12000.00; EUR; 
219; 106; 50; 12000.00; EUR; 
220; 106; 51; 12000.00; EUR; 
221; 106; 52; 12000.00; EUR; 
222; 107; 53; 12000.00; EUR; 
223; 107; 54; 12000.00; EUR; 
224; 107; 55; 12000.00; EUR; 
225: 101; 56; 20000.00; EUR;
226; 102; 57; 20000.00; EUR;
227; 103; 58; 25000.00; EUR;
